name,price(total),quantity,brand/seller
brass inserts,13.99,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
3x ESP32 devkitC,16.99,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Heat shrinks,,,
roll of 12 awg wire,,,
10x 6809ZZ bearings,23.79,1,uxcell
10x 6701-2RS bearings,9.79,1,uxcell
20x MR106-RS bearings,9.99,1,sackorange
ODESC V4.2 24V,39.99,1,Flipsky
20x Diametric magnets,19.33,1,Eliveshown
6s Lipo Charger,29.99,1,ISDT
6s Lipo 2200mAH,34.99,1,Ovonic
10x XT60 connector male + female,9.99,1,Tosiicop
PC filament 1kg,23.99,1,CC3D
m3 screws long,8.99,1,
4x 5010 360kv motor,60,1,
4x MKS xdrive mini,200,1,Makerbase
steel linkage,7.64,1,MECCANIXITY
,,,
,,,
80x MR106-RS bearings,48.95,1,Sackorange
10x 6701-2RS bearings,9.79,1,uxcell
,,,
SN65HVD230,7.99,1,
